City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
206,udachny,66.4167,112.4,-36.3,96,28,2.91,RU,1705120511
207,callao,-12.0667,-77.15,24.84,78,0,5.66,PE,1705120511
208,inhambane,-23.865,35.3833,26.99,83,20,0.0,MZ,1705120512
209,quellon,-43.1167,-73.6167,9.94,89,6,3.48,CL,1705120231
210,mwingi,-0.9344,38.0601,19.99,91,96,1.13,KE,1705120512
211,dumai,1.6833,101.45,26.13,84,100,0.68,ID,1705120512
212,sisimiut,66.9395,-53.6735,-5.48,71,92,4.95,GL,1705120276
213,rawatsar,29.2833,74.3833,17.41,18,100,2.43,IN,1705120513
214,dejen,10.1667,38.1333,13.5,36,42,0.69,ET,1705120513
215,changji,44.0167,87.3167,-7.56,93,100,1.0,CN,1705120513
216,pacific grove,36.6177,-121.9166,10.1,81,100,2.57,US,1705120514
217,veraval,20.9,70.3667,26.19,35,0,4.19,IN,1705120514
218,fort george g mead junction,39.1259,-76.7891,12.73,94,100,9.77,US,1705120514
219,mogocha,53.7333,119.7667,-16.25,76,50,2.73,RU,1705120515
220,el tarf,36.7672,8.3138,8.87,89,85,1.96,DZ,1705120515
221,stanley,54.868,-1.6985,4.74,90,20,5.14,GB,1705120448
222,dwarka,22.2394,68.9678,23.45,37,0,4.2,IN,1705120515
223,colac,-38.3333,143.5833,14.91,76,100,2.77,AU,1705120516
224,urangan,-25.3,152.9,26.78,85,100,2.24,AU,1705120516
225,aswan,24.0934,32.907,10.61,57,0,2.57,EG,1705120516
226,plouzane,48.3833,-4.6167,0.03,93,0,3.09,FR,1705120517
227,khagrachhari,23.1,91.9667,22.33,38,0,0.85,BD,1705120517
228,colonia,50.9333,6.95,2.76,89,100,1.54,DE,1705120218
229,hola,51.5377,23.1902,-0.9,95,100,6.87,PL,1705120517
230,labrador city,52.9463,-66.9114,-19.05,71,100,4.12,CA,1705120518
231,roma,43.2128,-75.4557,3.79,84,100,8.23,US,1705120518
232,college,64.8569,-147.8028,-17.28,72,75,0.0,US,1705120518
233,lethem,3.3803,-59.7968,26.05,68,54,4.17,GY,1705120518
234,kristiansund,63.1115,7.732,5.36,87,100,6.69,NO,1705120519
235,hirara,24.8,125.2833,21.15,52,40,4.12,JP,1705120519
236,bangar,16.8936,120.4243,28.56,58,6,3.38,PH,1705120519
237,brokopondo,4.75,-55.1667,24.08,89,78,3.45,SR,1705120519
238,kiunga,-6.1219,141.2906,33.0,54,79,2.14,PG,1705120520
239,kingston,17.997,-76.7936,27.53,81,20,6.17,JM,1705120500
240,aosta,45.7667,7.4167,-2.23,52,0,1.19,IT,1705120520
241,comandante fontana,-25.3345,-59.6821,22.97,85,13,1.98,AR,1705120520
242,kardla,58.9978,22.7492,-9.98,89,100,4.13,EE,1705120521
243,hadibu,12.65,54.0333,25.44,77,81,2.46,YE,1705120521
244,jamestown,42.097,-79.2353,5.77,90,100,7.72,US,1705120289
245,andkhoy,36.9529,65.1238,15.42,34,99,4.73,AF,1705120521
246,arraial do cabo,-22.9661,-42.0278,24.63,94,100,5.96,BR,1705120522
247,kailua-kona,19.6406,-155.9956,23.98,70,40,5.66,US,1705120522
248,leava,-14.3,-178.1667,29.2,77,87,4.53,WF,1705120522
249,nagqu,31.5,92.0,-6.68,22,14,1.73,CN,1705120523
250,dawei,14.0833,98.2,31.18,45,19,3.17,MM,1705120523
251,kavaratti,10.5669,72.642,28.39,67,100,3.44,IN,1705120523
252,howrah,22.5892,88.3103,14.0,82,0,2.57,IN,1705120523
253,giyani,-23.3025,30.7187,24.41,80,83,1.58,ZA,1705120524
254,port lincoln,-34.7333,135.8667,22.7,63,100,9.12,AU,1705120524
255,ulladulla,-35.35,150.4667,25.76,66,6,3.01,AU,1705120524
256,tolanaro,-25.0319,46.9987,27.04,78,20,6.17,MG,1705120524
257,kincardine,56.0667,-3.7167,6.99,96,60,2.73,GB,1705120524
258,yerofey pavlovich,53.9667,121.9667,-16.86,82,100,1.91,RU,1705120525
259,bintulu,3.1667,113.0333,30.23,74,20,1.03,MY,1705120525
260,aragarcas,-15.8975,-52.2508,22.27,94,92,1.28,BR,1705120525
261,candelaria,13.9311,121.4233,27.44,67,73,5.37,PH,1705120525
262,conduaga,8.862,117.4893,29.94,69,76,2.44,PH,1705120526
263,malango,-2.9627,119.9001,28.43,66,100,1.0,ID,1705120526
264,xindian,36.7975,118.2944,11.07,37,19,1.61,CN,1705120526
265,mar del plata,-38.0023,-57.5575,16.64,76,0,8.49,AR,1705120357
266,dingli,35.8614,14.3822,10.09,82,20,3.09,MT,1705120527
267,whangarei,-35.7317,174.3239,24.96,51,0,3.51,NZ,1705120527
268,vilyuchinsk,52.9306,158.4028,-12.85,92,98,1.67,RU,1705120527
269,ramgarh,23.6333,85.5167,21.03,18,0,3.72,IN,1705120527
270,naha,26.2125,127.6811,20.95,46,20,4.63,JP,1705120317
271,beyneu,45.3167,55.2,-1.13,97,100,9.21,KZ,1705120528
272,ghanzi,-21.5667,21.7833,21.62,79,91,4.57,BW,1705120528
273,macusani,-14.0833,-70.4333,2.99,84,100,0.93,PE,1705120528
274,phongsali,21.6833,102.1058,18.87,69,18,1.1,LA,1705120529
275,kalmunai,7.4167,81.8167,27.07,73,100,5.54,LK,1705120529
276,taitung city,22.7583,121.1444,20.15,83,75,5.66,TW,1705120529
277,papao,-17.75,-149.55,28.82,78,86,5.27,PF,1705120529
278,stephenville,32.2207,-98.2023,2.44,60,0,0.0,US,1705120530
279,massaguet,12.4755,15.4365,18.04,16,10,3.83,TD,1705120530
280,acarau,-2.8856,-40.12,25.49,89,100,3.06,BR,1705120530
281,constitucion,-35.3333,-72.4167,12.05,89,1,2.0,CL,1705120242
282,verneuil-sur-avre,48.7395,0.9273,-1.16,98,100,2.22,FR,1705120530
283,al kharijah,25.4514,30.5464,10.64,48,25,1.6,EG,1705120531
284,galesong,-5.3166,119.3661,31.01,73,100,4.56,ID,1705120531
285,tomatlan,19.9333,-105.25,18.61,92,100,1.27,MX,1705120531
286,happy valley-goose bay,53.3168,-60.3315,-9.83,62,100,7.72,CA,1705120532
287,ighiu,46.15,23.5167,-4.39,68,20,3.27,RO,1705120532
288,aliwal north,-30.6937,26.7114,21.42,57,0,1.23,ZA,1705120532
289,vernon,50.2581,-119.2691,-23.64,55,76,1.05,CA,1705120532
290,kimberley,-28.7323,24.7623,20.83,88,0,5.14,ZA,1705120532
291,badger,64.8,-147.5333,-17.33,75,0,0.0,US,1705120533
292,dudinka,69.4058,86.1778,-29.66,88,27,3.21,RU,1705120533
293,wellington,-41.2866,174.7756,21.81,78,75,14.92,NZ,1705120400
294,awjilah,29.1081,21.2869,11.24,78,2,6.42,LY,1705120533
295,linxia chengguanzhen,35.6003,103.2064,3.74,20,35,2.12,CN,1705120533
296,ewo,-0.8725,14.8206,23.63,76,99,1.41,CG,1705120534
297,rawlins,41.7911,-107.2387,-17.58,89,99,2.69,US,1705120534
298,port macquarie,-31.4333,152.9167,29.38,59,26,4.95,AU,1705120534
299,marrakesh,31.6315,-8.0083,10.04,40,0,2.06,MA,1705120410
300,natal,-5.795,-35.2094,27.36,83,20,3.6,BR,1705120535
301,qala i naw,34.9874,63.1289,14.72,25,83,3.81,AF,1705120535
302,pospelikha,51.95,81.7667,-11.35,73,98,4.84,RU,1705120535
303,vrontados,38.4089,26.1328,7.92,66,40,8.23,GR,1705120535
304,jayapura,-2.5333,140.7,30.66,71,100,2.23,ID,1705120267
305,balikpapan,-1.2675,116.8289,28.55,79,20,2.06,ID,1705120536
306,tonk,26.1667,75.7833,18.99,32,90,1.44,IN,1705120536
307,altay,47.8667,88.1167,-7.83,59,5,2.11,CN,1705120536
308,kirensk,57.7853,108.1119,-23.91,97,53,3.13,RU,1705120537
309,kidal,18.4411,1.4078,17.41,12,16,4.41,ML,1705120537
310,saint-pierre,-21.3393,55.4781,28.82,70,20,1.54,RE,1705120537
311,dalbandin,28.8947,64.4101,14.57,52,0,1.68,PK,1705120537
312,alenquer,-1.9417,-54.7383,23.09,97,86,1.0,BR,1705120537
313,san patricio,28.017,-97.5169,12.92,37,5,3.05,US,1705120538
314,aberdeen,57.1437,-2.0981,6.27,80,73,6.17,GB,1705120538
315,thunder bay,48.4001,-89.3168,-13.01,72,100,2.06,CA,1705120538
316,tual,-5.6667,132.75,28.61,79,100,6.81,ID,1705120538
317,port elizabeth,-33.918,25.5701,21.17,98,75,5.14,ZA,1705120539
318,havre,49.5833,0.3333,0.87,86,100,2.57,FR,1705120539
319,remire-montjoly,4.9167,-52.2667,24.02,94,75,0.51,GF,1705120539
320,lompoc,34.6391,-120.4579,10.94,72,0,8.05,US,1705120540
321,klyuchi,52.2667,79.1667,-9.75,78,100,6.23,RU,1705120540
322,chui,-33.6971,-53.4616,16.28,75,0,2.81,UY,1705120540
323,deschutes river woods,43.9915,-121.3584,-13.6,83,100,3.6,US,1705120540
324,palikir - national government center,6.9248,158.1611,30.47,66,100,5.14,FM,1705120418
325,maumere,-8.6199,122.2111,29.19,75,99,2.35,ID,1705120541
326,ulanhot,46.0833,122.0833,-12.12,71,100,6.84,CN,1705120541
327,puerto armuelles,8.2833,-82.8667,27.27,80,84,1.34,PA,1705120541
328,sambava,-14.2667,50.1667,26.09,83,100,1.5,MG,1705120541
329,francisco sa,-16.4758,-43.4883,25.08,72,91,2.33,BR,1705120542
330,ola,59.5833,151.2833,-25.52,86,14,3.56,RU,1705120542
331,itoman,26.1247,127.6694,21.01,46,20,4.63,JP,1705120542
332,flandes,4.2941,-74.819,23.15,89,72,0.61,CO,1705120542
333,vila franca do campo,37.7167,-25.4333,18.27,99,100,6.21,PT,1705120543
334,niamtougou,9.7681,1.1053,21.11,14,77,2.63,TG,1705120543
335,georgetown,5.4112,100.3354,30.97,62,20,3.6,MY,1705120543
336,kenai,60.5544,-151.2583,-2.95,93,100,3.09,US,1705120543
337,st. johns,47.5649,-52.7093,-0.68,88,0,7.72,CA,1705120543
338,melekeok village,7.4957,134.6367,31.31,70,75,6.69,PW,1705120544
339,st. john's,47.5649,-52.7093,-0.68,88,0,7.72,CA,1705120483
